web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,helpful
"1584085992-1006","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Sharon Hamilton","Harry;s son a slithering?","Reviewed in the United States on October 5, 2016","Book was written in a style that was different but was easy to read.  Story line was unexpected.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_101?ie=UTF8&filterByStar=positive&pageNumber=101&reviewerType=all_reviews","One person found this helpful"
"1584086858-4922","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Fernando Mark Paiz","Pure Magic","Reviewed in the United States on February 11, 2017","Theme: Family Love and Acceptance!
A fun and impressive return to JK Rowling's world created years ago that creatively merges old fan favorite characters with new blood. Original fans will not be disappointed.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_493?ie=UTF8&filterByStar=positive&pageNumber=493&reviewerType=all_reviews","null"
"1584086742-4410","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","SJJM","Loved it #SpoilerFree","Reviewed in the United States on March 29, 2017","Wow. How great was it to return to Hogwarts with another new adventure? My overall thoughts on The Cursed Child - loved it - and would absolutely love to see it on stage if I ever get to London again. My aim is not to include any spoilers in this review, so here goes.

It's widely known that The Cursed Child is the product of J.K.'s world and that it isn't a book completely penned by her as such, but a script for the London play. So, the first thing you need to do is keep that mindset ... it's full of dialogue that reads differently from a book but draws on the reader's own knowledge of the HP world for atmosphere and detail.

The focus of the story is on Harry's son, Albus, and Malfoy's son, Scorpius. Who would have thought I would find any son of Draco Malfoy likable? But they're not the total focus ... fans are rewarded with the return of all of their favourites, in one way or another.

We've all wondered what happened to Harry and Co after that last scene at Kings Cross in Deathly Halllows. Well this amazing story shows us what was, and what may have been. It's a great way of exploring how things in the past can impact the future, and of all the different possibilities, which I know have been thrown around by fans since HP7.

IMO I think that this one sits with true fans, in that the storyline pays tribute to many of the great things that we've read in the other books over the years. It's like we are returning to events and scenes, but with a slightly different perspective. We all have our own imagined visions of what happened in books 1-7, and of course, we've seen the movies that give us a great visual reference to look back on. I'm not sure that readers who haven't read HP or at least seen the movies (Are there any muggles like that?) would be able to translate the script into their imagination without prior knowledge of the settings and events it refers to.

Other reviews that I have read for HP8 have been mixed, but that's natural given that this series means so much to so many people. I had been looking forward to this book since I first heard it was coming, and now that I've read it, I have a tinge of sadness that it really is the last of the HP tales. They say .... all good things must come to an end ... but ... at least we have Fantastic Beasts and Where to Find Them on the horizon to look forward to.

IN A NUTSHELL - Loved it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_441?ie=UTF8&filterByStar=positive&pageNumber=441&reviewerType=all_reviews","2 people found this helpful"
"1584086683-4139","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Amy","Great read for Harry Potter fans.","Reviewed in the United States on August 30, 2016","I enjoyed this opportunity to tie up the lose ends.  Great if you want to revisit Harry and the Gang.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_414?ie=UTF8&filterByStar=positive&pageNumber=414&reviewerType=all_reviews","null"
"1584086540-3500","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Johana Cruz","Five Stars","Reviewed in the United States on December 27, 2016","Luv it!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_350?ie=UTF8&filterByStar=positive&pageNumber=350&reviewerType=all_reviews","null"
"1584086375-2734","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Brian P. Enclade","Five Stars","Reviewed in the United States on November 23, 2016","Goid","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_274?ie=UTF8&filterByStar=positive&pageNumber=274&reviewerType=all_reviews","null"
"1584086487-3252","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Leslie","A fun read!","Reviewed in the United States on August 27, 2016","I purchased this book hoping to see ""what happens next?"" It was alot of fun. Magic can't solve everything. Filled with bravery and 'derring-do ' And everyone, even our heros, has warts and all just like the rest of us. :)","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_326?ie=UTF8&filterByStar=positive&pageNumber=326&reviewerType=all_reviews","null"
"1584085958-868","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Robert Day","Four Stars","Reviewed in the United States on March 23, 2018","fun to follow Harry and the gang, but not as good as the original series.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_87?ie=UTF8&filterByStar=positive&pageNumber=87&reviewerType=all_reviews","null"
"1584086579-3679","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Amazon Customer","Five Stars","Reviewed in the United States on August 20, 2017","LOVELYY","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_368?ie=UTF8&filterByStar=positive&pageNumber=368&reviewerType=all_reviews","null"
"1584086341-2571","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Mrs. Parler's Profile","so to have another book in the series was awesome.","Reviewed in the United States on September 26, 2017","I'm a huge Harry Potter fan, so to have another book in the series was awesome.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_258?ie=UTF8&filterByStar=positive&pageNumber=258&reviewerType=all_reviews","One person found this helpful"
