web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,helpful
"1584087491-5841","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","L. Stiles","Three Stars","Reviewed in the United States on October 5, 2016","Didn't like the format.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_84?ie=UTF8&filterByStar=three_star&pageNumber=84&reviewerType=all_reviews","null"
"1584087347-5202","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Cliff","Decent.  I'm not blown away.  Harry potter fans must read.","Reviewed in the United States on October 14, 2016","Compared to the others, its pale in comparison with details and intricate story line.  I mean, I am a huge harry potter fan and have read everything.  This is just ok.  I can see making a movie of it, but a play?  and it really needs some exaggerating.  You forget that you are reading a play after a few chapters.  If youre a harry potter fan, you have to read it, but don't expect to be blown away.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=three_star&pageNumber=21&reviewerType=all_reviews","null"
"1584087654-6563","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Elizabeth Wright","Lacking in Depth","Reviewed in the United States on November 28, 2016","I feel as if this book is truly lacking what the other Harry Potter books had. It's not just the descriptions I miss, it's the complexities of the characters. I knew going into this that it's a play - not your typical Harry Potter book. Yet, I still feel as if it's missing the kind of depth that was carefully woven into the original books. For example, the scenes are very short. What could have been beautifully written in a novel format seems to be short changed into a clumpy collection of short sentences within just a few pages. The scenes are not long enough to really feel any connections to the characters. They feel choppy and rushed almost.  The main characters, Albus and Scorpius, have so much potential to blossom into beloved characters, but it's just not shown in this book. Considering this is what most Harry Potter enthusiasts have been waiting for, it just didn't feel up to par for me.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_157?ie=UTF8&filterByStar=three_star&pageNumber=157&reviewerType=all_reviews","null"
"1584087510-5922","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Shanon Wolf","... issue was it was in play format and not like reading a book","Reviewed in the United States on September 29, 2016","I think my issue was it was in play format and not like reading a book. It just keeps me wanting more to read felt to short.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_93?ie=UTF8&filterByStar=three_star&pageNumber=93&reviewerType=all_reviews","null"
"1584087529-6016","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Jim Burke","Three Stars","Reviewed in the United States on August 22, 2016","Good story but did not think it was written in script form","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_102?ie=UTF8&filterByStar=three_star&pageNumber=102&reviewerType=all_reviews","null"
"1584087445-5631","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Janet Lukat","Semi satisfying conclusion","Reviewed in the United States on August 2, 2016","Could this have been better? Absolutely. But really, it was still pretty good. Not as well written as the original series and lacking in depth, but a fun read nonetheless. Go in with your expectations set that this is going to be a completely different type of reading experience, and you will probably enjoy it.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&filterByStar=three_star&pageNumber=63&reviewerType=all_reviews","null"
"1584087390-5382","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Larry E. Hayes","Its OK","Reviewed in the United States on February 27, 2019","But I was disapointed","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&filterByStar=three_star&pageNumber=39&reviewerType=all_reviews","null"
"1584087478-5774","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Kyle Witten","Ho-hum at best","Reviewed in the United States on October 2, 2016","Compared to the original books, it was a disappointment.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_78?ie=UTF8&filterByStar=three_star&pageNumber=78&reviewerType=all_reviews","null"
"1584087580-6232","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Lauren Randolph","It wasn't worth the price I paid. The story was ok but I really didn't like the format.","Reviewed in the United States on August 7, 2016","Wish she'd continue writing other books  they don't have to be about Harry Potter. This was very disappointing to me.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_124?ie=UTF8&filterByStar=three_star&pageNumber=124&reviewerType=all_reviews","null"
"1584087569-6186","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Michelle","Three Stars","Reviewed in the United States on October 6, 2016","I read it.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_119?ie=UTF8&filterByStar=three_star&pageNumber=119&reviewerType=all_reviews","null"
