Column1,content,Judge_1,Judge_2,Judge_3
3358,"To be honest, it was difficult at first. Don’t read it directly after the series. Give yourself time to curate your journey. It is, of course brilliant. Keep going. Give yourself time. Understand it’s called the “cursed child” for a reason. Now you may proceed. Enjoy the journey.",1,1,1
1140,"The play reads quite well - a reminder of just how dialogue driven Ms. Rowling's novels are.  I enjoyed this thoroughly!  There are surprising alliances, some equally surprising redemptions, and a few nostalgic and harrowing elements as well. Reading this makes me wish that I could afford a trip overseas to see it onstage!",1,1,1
2321,Enjoyed but not her best work,0,1,0
3665,"It was really good to be back at Potter's world, however it also felt a bit strange and unfamiliar. I cant make up my mind weather I loved it or not. I wish it was a novel though.",0,1,0
1947,Major plot holes and contradictions to original books,0,0,0
3064,I love Harry Potter. Just wasn't long enough!,1,1,0
2651,Disappointed. Was expecting a book and got a play,0,0,0
4235,Harry Potter is not my fave series...i read this wanted to know if it was worth the hype....i really liked the characters and story I was afraid I might get confused with the time travel but I didn't,1,0,1
1516,Expectation was higher. Didn't realize it was script format. If the intention of a very irritating child was on purpose- then success! it was nailed.,0,1,0
4782,"I was totally disappointed in this volume of Harry Potter.  Reading all the other books was amazing and left so much to the imagination but this, being a script to a play, took all that away.  I would have rather had a story with descriptions of what the characters were going through and seeing.  To me Harry Potter books took you into another world, made you use your imagination and brought you to many different moments that made you happy, sad, scared a little, and anticipating what would happen next.  This one did not.  Had I known it would be like this I would not have ordered i.",0,0,0
1757,"Great plot, old and new characters in the eternal fight against the forces of darkness - couldn't be better :-)",1,1,1
2029,"Bad book. Dosent make sense. I do not believe JK wrote this its terrible. Voldemort, have a child? He cant love as dumby told us. Dont waste your time reading this book. It makes me angry. Only thing i like is that slytherin is painted in a better light. Charectors dont make sense and Albus is sulky, Rose is mean, TERRIBLE BOOK",0,0,0
3850,I prefer reading in story form however once I got into this book I became fascinated with the twists and turns (no pun intended) of the time turner. I did enjoy all the characters and the story line.,1,1,1
3368,I wish I would have realized it was written like a script. It's interesting but not enough to binge read for me.,0,0,0
3450,Amazing stuff this story is so good. Some of jo s work such as the cashual vaccancy is too seedy for me to handle but all her magical and mythalogical prowess is an absolute joy.,1,1,1
2247,"I thought I was purchasing the books, not some retarded play script. It should have been way more obvious that this wasn't the book. My wife is going to be devastated.",0,0,0
735,It was a great view into the adult characters. Facing issues with kids . The friendship that might not have been.,1,1,1
3409,I thought this was a good epilogue to the Harry Potter books.  It is written in play form.  It was a fast read and I liked the twists and turns in the story.,1,1,1
3146,Made great gift!,1,1,1
3573,"I am a hugh Harry Potter fan and never wanted the book series to come to an end. This book is actually a script and it took a little getting used to. That being said, I love the book.",1,1,1
368,"After all this time I still want more Harry Potter.  Always?!  ..""Always""!!
Know some people have criticized this book, and in particular the time travel.  However, I enjoyed how that allowed us to relate to the previous books.",1,1,1
2568,"It was really a good story. It was different reading it as a play and I prefer the ""book"" style but because I got into the whole Harry Potter saga I wanted to read this, too.",1,1,1
1844,"Plot holes that Hagrid could fit through and over-wrought writing. I have zero problem reading plays. In fact, I think branching into a new medium was cool and publishing it as a script was a great way to create buzz elsewhere. As a marketer I'm impressed with the strategy. The problem is the product. With the greatest deus ex machinas ever, polyjuice potion and a time turner, the writing team still wrote themselves into a corner and ended up ignoring the rules of the world they created.

Scorpius was cool, though.",0,0,0
4489,"This book,written as a play, lacks the thorough description of events happening because it was meant to be seen, not read.  I do not feel that j k Rowling wrote very much, if any, of this play.  It lacks her style of writing and outcomes of situations that her other books did.  Yes, a few new twists, that spent more time duplicating information from the other books, so not very much new there.  Do the writers of this play honestly think we do not remember the story from previous books?  All in all not a very good read.  Not sure I even want to see the play if it becomes available, the loss of special effects would probably make the play as boring as the book.  Sorry.",0,0,0
3778,I personally think that this book is very funny. Especially the part where Albus drinks polyjuice potion and becomes Ron. And kisses Hermione about a dozen times. I've read it about a hundred times and it never gets boring. Hahahahahahahahahahahaha!!!!!!!,1,1,1
3302,waist of money very dispointed,0,0,0
4650,It was a great way to carry on the story,1,1,1
3579,Once again JK Rowling has proven she is the fantasy master! Highly recommend for any die hard potterhead!,1,1,1
894,"Disappointed. Doesn't feel like Harry Potter book at all, more like a bad fan fiction.",0,0,0
539,Plays suck to read,0,0,0
