content_lem,sentiment,predicted,length
weak ,1,0,5
no nudity disappoint ,1,0,21
not the best of harry potter ,1,0,29
didnt think i would like this but i do ,1,0,39
best harry potter fanfiction ive ever read ,1,0,43
i love harry potter and this book be no disappointment ,1,0,55
i like the book but it not write by j k rowling like they say ,1,0,62
a collaboration so it really doesnt feel like jk rowlings work not bad though ,1,0,78
i like this book the only bad thing be the fact that it be write like the play ,1,0,79
i find harry to just not be what he be but the plot be really fast jump all over ,1,0,81
i love have the character back even if it just one last timei wish this be not the last book ,1,0,93
i actually like this the plot be crazy but the relationship between character felt true to life and complex ,1,0,108
i have do both so i enjoy it it be not like the book or the movie by jkr it more like a fan fiction i like it ,1,0,110
let face it it not a book and it be not write by jk rowling it ok i like it but it not as deep a the other one ,1,0,111
not sure i like a book write a a stage play it be ok but if i hadnt have all the book i probably wouldnt have buy it ,1,0,117
dont expect this to be a jk story she do not write itbut it be a fantastic way to show a future for harry and the gang ,1,0,119
dont go in hop for a reading experience like a novel might give you this be not a continuation of the series nor be write completely by rowlingthis be different ,1,0,161
harry potter be not my fave series i read this want to know if it be worth the hype i really like the character and story i be afraid i might get confuse with the time travel but i didnt ,1,0,187
i think more harry potter would be just the thing and at first i be sad id ruin the memory of my childhood with this awful new installment but then thing hit their rhythm and im glad i read it ,1,0,193
great book huge fan of the harry potter series anyone that be this be a must own write like a play so it a different read just a head up definitely worth the money dont miss out on this book go get it ,1,0,201
it read a bit like fan fiction but for me that be mostly because the voice be off base on a story by jk rowling not write by jk rowling despite that bit of disappointment i be happy to read about the familiar character again ,1,0,225
it pretty obviously not totally write by jk rowling not really her style and the character do thing that be a bit out of character i would be interested in see the play it just fill a small part of the hole leave by the end of deathly hallows ,1,0,243
after read all the negative review it be actually not a bad book they use all the thing from jk rowling that be know to happen after the book 7 so it be nice to follow the history and hear more of what have happen no it be not a book from jk but it wasnt horrible either ,1,0,271
the story be okay it a jk rowling story so i have to give it prop but the character be awful the thing the character do even the way that they speak be dreadful i wish it would be write a a legit book by jk rowling not these other guy yes indeed it do read like fan fiction ,1,0,274
i like this book however if you be a huge fan of the 7 book like me you may be disappoint or upset actually it be not in the same style be a play instead of a novel it be much short and take too many turn from the storyline of the book it be not what i expect but i do like it ,1,0,277
so i actually read this when it first come out and really didnt like it it read a fan fiction to me but i just saw it on broadway and my god it be brilliant what be so ridiculous on the page be absolutely magical on the stage i take back all the bad thing i say about it before ,1,0,278
while this be an awesome book i do not intend to buy but seem amazon do not allow for ops i hit the wrong button so i have to cancel m kindle prime because i only have enough in my account for that shrug oh well their loss i be not fight to find a way to talk to them spend 30 min look i give ,1,0,293
im a huge harry potter fan ive read all the book multiple time a many other reviewer have i have low expectation for this book give that it be a script format i think it be brilliant for what it be it do lack character development but hey it not a novel so thats expect i hope they write a sequel ,1,0,297
i really hate give anything relate to harry potter less than 5 star so this pain me the story be very hard to follow along with be a playwright and it just didnt keep my interest like all of the other hp book do finish it however and will prolly reread it at some point i think it would be well write just a a novel and not the playwright ,1,0,339
love all the harry potter book but truly disappointed that my granddaughter copy will not get to her until aug 3 have preordered book before and receive them on the release date while i understand not get the copy until aug 1st because the release date be a sunday i expect to receive it on the 1st all of her friend have already read it and she have not even gotten hers yet ,1,0,376
meh a a long time potter fan who grow up with the book a they be publish i didnt hate this new stageplay script as much a a lot of other fan be hat on it it wasnt the most amazing thing ever and i felt like it lack that mystery element that make all of the book so engage but it be nice to return to the wizarding word in an official way even if it wasnt a dropdead fantastic a i be hop for ,1,0,391
most of the review here say the book be bad but i do not there be some wierd thing in the book like in the begining it skipps several year at a time also harry suck ron be plain wierd the darkness they see around albus be never explainded and the onlf cure be against anyone in the book be dracos wife but other than that i would say read it if you have spare time rwad it it be acuay not bad ,1,0,393
i be skeptical when it be reveal that this story would be release a a play script and not a novel but this story go beyond my expectation overall it be a great story where harry potter be just a secondary character the only disappointment i have be the villain in the story because i felt she should have be a lot strong than what she be i be also disappointed to see jk rowling say she be do with harry potter ,1,0,411
i do not follow or read fan fiction so i do not know how this compare i understand that this read like fan fiction for me i be very happy to be reinserted into that wonderful world again after so many year so i be able to look past the poor dialogue and somewhat predictable character development if you have a high standard of fan fiction then you may not be impress i look forward to watch the stage version because that be guarantee to be even well ,1,0,452
