web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1584087928-5131","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Jnekka","Keep the Harry Potter’s coming!","Reviewed in the United States on May 5, 2019","Of course I love anything to do with Harry Potter.  I do wish this was written into a book (instead of a play), but loved it anyway.  The only other thing is I wish it was read by Jim Dale (which is the only reason I gave it 4 instead of 5 stars).","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&filterByStar=four_star&pageNumber=4&reviewerType=all_reviews&sortBy=recent"
"1584088103-5922","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Melvin R. Grover Jr.","Four Stars","Reviewed in the United States on October 4, 2016","It was a good read after you got past the format.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_83?ie=UTF8&filterByStar=four_star&pageNumber=83&reviewerType=all_reviews&sortBy=recent"
"1584088078-5807","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Marshall","Fine book, Good play, Disappointing as part of the Harry Potter Saga","Reviewed in the United States on October 15, 2016","This was a fun read, it was engaging and as ever J.K. Rowling demonstrates an impressive ability to bring her magical world vividly to the imagination of her audience. I also expect that it makes an excellent play that I hope someday to be able to see. This  was a fine book and a good play. However, it was disappointing as a new installment of the Harry Potter Saga. Now, it is hard to fault Rawling for this, as my objection really boils down to her previous work simply being TOO good. It would be hard for any book, much less a play, to hold up to my expectations and unfortunately this play did not.

Below are some of my concerns, to name but a few <Spoilers from here on out>:

The utilization of the time turner trope, unsurprisingly, opens up a large number of plot holes (how do the effects of manipulating the blanket propagate forward without other effects, like there being an Albus and Scorpius or Delphi's machinations; why can't someone at any point in the future make a new unlimited time turner and render all futures unfixed etc.).

Many of the portrayals of characters are disappointing to those of us who grew up with them (the idea that counterfactually Diggory could become a death eater, that Professor Longbottom would not have a more active role at Hogwarts in dealing with the situation, that Harry's scar could start hurting (despite the Horcrux in him being destroyed) is deeply implausible).","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_71?ie=UTF8&filterByStar=four_star&pageNumber=71&reviewerType=all_reviews&sortBy=recent"
"1584087952-5241","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","N. Acosta","Enjoyed","Reviewed in the United States on December 7, 2017","This is not a typical Harry Potter book as it's a screenplay. It's not as in depth as I'm used to, however, it was nice to see where some of my favorite characters ended up. I'd have liked to see a movie version as reading a screenplay doesn't have the same effect as watching it put together. This was a play, which sadly I could not see.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_15?ie=UTF8&filterByStar=four_star&pageNumber=15&reviewerType=all_reviews&sortBy=recent"
"1584088135-6068","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Mthomas","Good read! Once you get over the format of ...","Reviewed in the United States on September 29, 2016","Good read! Once you get over the format of it being a play it's a fast read! I don't care for the play format but still worth reading if your a HP fan","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_97?ie=UTF8&filterByStar=four_star&pageNumber=97&reviewerType=all_reviews&sortBy=recent"
"1584088354-7052","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Leanna","I can't compare this to the original series, but it was a fun read","Reviewed in the United States on August 1, 2016","I gave this book four stars because I did legitimately enjoy reading it, and I would recommend it to other Harry Potter fans (and maybe some non-fans!) to read as well. I won't compare this to the original series, because that'd be like trying to compare anything with perfection in my world. There were some things that did bother me about this book though, which I'll get to in a bit.

I'll start with what I liked:
It has been nine years since the last Harry Potter book came out, in which I stood in line dressed as Luna Lovegood nervously avoiding everything in fear of spoilers, and as a die-hard fan I loved the excuse to return to a world I almost feel that I grew up in. I liked reading this play because I've always been eager for more Harry, and this gave me more Harry.
I actually thought it worked well as a play, too. Plays/scripts will by virtue of their format not be able to offer as much detail and description as a book might, especially when reading a script vs seeing it as it was meant to be seen. But GIVEN that it's a play and that has to be expected, I appreciated the description that was included. There was enough in there for me to smile along with a new favorite character (Scorpius) and I definitely cried at the end, but I cry at a lot of things, so take that with a grain of salt.

And the things I DIDN'T like are more because of that die-hard HP fan thing, but I'll give an overview anyway:
Some of the plot points in this book just don't WORK, given the story's previous canon. I won't go into too much detail, because spoilers, but trolley witches? A certain office that seemed far too easy to get into? A kind of major relationship that seems much too far-fetched to ever be considered reality in this universe? I don't know. I just kept pausing while reading this and thinking, but, wait, THAT'S a bit contradictory.

I don't know if I'll return to re-read this many times, but I have no regrets about my midnight trek to buy it among my fellow book-lovers, and I will probably still see the play if given the chance.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_196?ie=UTF8&filterByStar=four_star&pageNumber=196&reviewerType=all_reviews&sortBy=recent"
"1584088318-6882","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","C. Springer","Great, Smooth Read. Genuinely Entertaining.","Reviewed in the United States on August 5, 2016","I don't understand these 1-2 star ratings, I really don't. I thoroughly enjoyed this script book. It might not have been on par with the original Harry Potter series, but it was good in its own right. The pacing was smooth for me, even if it moved a little fast in the beginning. But this isn't a novel, it's supposed to be made into a play. Which is why I understand the pacing and not going into huge details about each year.

[spoiler]Being a Slytherin myself, I love that Albus was sorted into the greatest house and made quick friends with Scorpius. He struggled with the placement, but came to realize it was were he belonged in the end.[/spoiler]

I was hooked on this from the first page and finished it within the second day of owning it. I grew up with Harry Potter, but I wasn't overly excited for this script book since it isn't an actual novel. But it was a pleasant read and I'd recommend it to any fan of the series. Definitely a great insight into what our favorite characters have been up to since leaving Hogwarts. I would love to see this play!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_179?ie=UTF8&filterByStar=four_star&pageNumber=179&reviewerType=all_reviews&sortBy=recent"
"1584088121-6000","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Wesley L. Duffey Jr.","Four Stars","Reviewed in the United States on October 2, 2016","Being based on a play, it was a little different than a regular book, and sometimes hard to follow.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_91?ie=UTF8&filterByStar=four_star&pageNumber=91&reviewerType=all_reviews&sortBy=recent"
"1584088216-6426","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","drebbles","Not as good as the books but worth reading","Reviewed in the United States on August 31, 2016","Harry Potter, The Boy Who Lived, is now a grown man with children of his own who are now attending Hogwarts.  Harry's childhood was not easy and it appears that his son Albus is following in his footsteps.  Albus is sorted into an unexpected house at Hogwarts and his best friend is Scorpius Malfoy, son of Harry's longtime enemy Draco.  Albus has long struggled with being the son of the famous Harry Potter, but this time his struggles will put him - and those closest to him - in very real danger.

I admit that I had mixed feelings about buying “Harry Potter and the Cursed Child”, knowing it was a play and not a book, and - while was based on her ideas - it was not written by J.K. Rowling.  After reading it, I still have mixed feelings.  To be sure, the story is a good one with Albus struggling in his father's footsteps just as Harry struggles to be a good father (as he says at one point he did not have any good examples to follow growing up).  Albus's friendship with Scorpius is well done - I never thought I would like a character whose last name is Malfoy but Scorpius is delightful - in fact, I think he is the real star of the play.  Besides the expected Harry, Ginny, Ron and Hermione, many old favorites appear in this play (some briefly) and there are some poignant and scary moments.  But in the end, this is a play not a book and lacks some of the character development that was in the books. Albus and Harry's relationship is realistically done but I would have liked to have seen more of James and how Albus gets along with him.  Classroom action is pretty much nonexistent in the play.  I found that the play, which is split into two part and is meant to be seen on two separate nights, is overlong (so much dialogue for the actors to learn, especially the young ones!) and feels like it could have used some editing (perhaps with some of the alternate worlds in the play).  I was never bored while reading the play; it just seemed a long play to be sitting in the audience watching.  Having said that, I would certainly go see the play just to see how they pulled off some of the magic - I bet it is awesome to see in person!

“Harry Potter and the Cursed Child” is not as good as any of the books in the series, but Harry Potter fans will enjoy it if only to see what Harry, Hermione, and Ron are like as adults.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_133?ie=UTF8&filterByStar=four_star&pageNumber=133&reviewerType=all_reviews&sortBy=recent"
"1584088025-5562","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&mediaType=all_contents&pageNumber=1&sortBy=recent&filterByStar=four_star","Adrian Diaz Gonzalez","While I liked the story somewhat","Reviewed in the United States on December 9, 2016","Ok, I read the Harry Potter series a while back, basically as they came out, it could be just the way this is written (play vs novels) and the way I usually consume the material; so please take with a grain of salt.  While I liked the story somewhat, the character development was not as great as I'd come to expect, and yes, a Play won't allow for this, but I still thought they were somewhat single dimensional.  You'd love this as a Potter fan, and it definitely talks about characters we loved in the past in a somewhat new light, but if you're going there hoping to revisit the old school and the loving moments, it may not fit everyone.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Playscript-ebook/product-reviews/B073P9348D/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&filterByStar=four_star&pageNumber=47&reviewerType=all_reviews&sortBy=recent"
